username,repo_name,stars,repo_url
Genymobile,scrcpy,59100,https://github.com/Genymobile/scrcpy
neovim,neovim,49600,https://github.com/neovim/neovim
git,git,40500,https://github.com/git/git
fffaraz,awesome-cpp,35200,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,34600,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,29000,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,27500,https://github.com/FFmpeg/FFmpeg
vim,vim,25600,https://github.com/vim/vim
ggreer,the_silver_searcher,23100,https://github.com/ggreer/the_silver_searcher
curl,curl,22900,https://github.com/curl/curl
huihut,interview,21700,https://github.com/huihut/interview
ruby,ruby,18700,https://github.com/ruby/ruby
google,flatbuffers,17200,https://github.com/google/flatbuffers
mpv-player,mpv,17100,https://github.com/mpv-player/mpv
pbatard,rufus,17000,https://github.com/pbatard/rufus
ossrs,srs,16800,https://github.com/ossrs/srs
oracle,graal,16300,https://github.com/oracle/graal
radareorg,radare2,15400,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14700,https://github.com/shadowsocks/shadowsocks-libev
microsoft,vcpkg,14500,https://github.com/microsoft/vcpkg
allinurl,goaccess,14100,https://github.com/allinurl/goaccess
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
jarun,nnn,13200,https://github.com/jarun/nnn
kovidgoyal,kitty,13100,https://github.com/kovidgoyal/kitty
facebook,infer,12800,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12300,https://github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,12000,https://github.com/TheAlgorithms/C
hashcat,hashcat,11400,https://github.com/hashcat/hashcat
qmk,qmk_firmware,11200,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11000,https://github.com/s-matyukevich/raspberry-pi-os
